unique_key,created_date,closed_date,complaint_type,descriptor,agency,borough,resolution_description,status,resolution_hours
64514408,2025-04-01T00:20:52.000,2025-04-01T02:06:41.000,Noise - Residential,Banging/Pounding,NYPD,QUEENS,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,1.8
64517758,2025-04-01T00:22:31.000,2025-04-01T02:36:22.000,Illegal Parking,Blocked Hydrant,NYPD,BRONX,The Police Department issued a summons in response to the complaint.,Closed,2.2
64517612,2025-04-01T00:24:12.000,2025-04-01T02:43:04.000,Noise - Residential,Banging/Pounding,NYPD,MANHATTAN,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,Closed,2.3
64521235,2025-04-01T00:24:45.000,2025-04-01T07:40:49.000,Blocked Driveway,No Access,NYPD,BRONX,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,7.3
64521713,2025-04-01T00:25:10.000,2025-04-01T12:14:00.000,Street Condition,Pothole,DOT,QUEENS,The Department of Transportation inspected this complaint and repaired the problem.,Closed,11.8
64520085,2025-04-01T00:25:55.000,2025-04-01T02:10:48.000,Blocked Driveway,No Access,NYPD,BRONX,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,1.7
64519987,2025-04-01T00:26:13.000,2025-04-01T07:53:39.000,Blocked Driveway,Partial Access,NYPD,QUEENS,The Police Department issued a summons in response to the complaint.,Closed,7.5
64518999,2025-04-01T00:26:16.000,2025-04-01T06:10:01.000,Illegal Parking,Overnight Commercial Storage,NYPD,BROOKLYN,The Police Department reviewed your complaint and provided additional information below.,Closed,5.7
64519278,2025-04-01T00:26:50.000,2025-04-01T01:39:22.000,Noise - Residential,Loud Music/Party,NYPD,BROOKLYN,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,1.2
64519248,2025-04-01T00:26:53.000,2025-04-01T01:03:32.000,Noise - Residential,Banging/Pounding,NYPD,QUEENS,The Police Department responded to the complaint and took action to fix the condition.,Closed,0.6
64516917,2025-04-01T00:26:55.000,2025-04-01T00:55:28.000,Noise - Residential,Banging/Pounding,NYPD,BRONX,The Police Department responded to the complaint and took action to fix the condition.,Closed,0.5
64521533,2025-04-01T00:26:58.000,2025-04-01T01:32:50.000,Noise - Residential,Loud Music/Party,NYPD,MANHATTAN,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,1.1
64521532,2025-04-01T00:27:33.000,2025-04-01T01:17:58.000,Noise - Residential,Loud Music/Party,NYPD,BROOKLYN,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,0.8
64517788,2025-04-01T00:27:59.000,2025-04-01T03:17:10.000,Noise - Residential,Loud Music/Party,NYPD,BRONX,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,Closed,2.8
64519997,2025-04-01T00:28:37.000,2025-04-01T06:09:05.000,Illegal Parking,Commercial Overnight Parking,NYPD,BROOKLYN,The Police Department reviewed your complaint and provided additional information below.,Closed,5.7
64517954,2025-04-01T00:28:38.000,2025-04-01T00:57:09.000,Illegal Parking,Blocked Hydrant,NYPD,BROOKLYN,The Police Department responded to the complaint and took action to fix the condition.,Closed,0.5
64520928,2025-04-01T00:29:55.000,2025-04-01T00:39:42.000,Blocked Driveway,Partial Access,NYPD,BRONX,The Police Department responded to the complaint and took action to fix the condition.,Closed,0.2
64520044,2025-04-01T00:30:26.000,2025-04-01T02:56:55.000,Noise - Residential,Banging/Pounding,NYPD,MANHATTAN,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,2.4
64514128,2025-04-01T00:31:40.000,2025-04-01T06:08:21.000,Illegal Parking,Commercial Overnight Parking,NYPD,BROOKLYN,The Police Department reviewed your complaint and provided additional information below.,Closed,5.6
64514336,2025-04-01T00:31:49.000,2025-04-01T01:56:59.000,Noise - Residential,Loud Music/Party,NYPD,BROOKLYN,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,1.4
64521578,2025-04-01T00:32:15.000,2025-04-01T01:46:28.000,Noise - Residential,Banging/Pounding,NYPD,QUEENS,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,1.2
64513062,2025-04-01T00:33:32.000,2025-04-01T03:56:25.000,Illegal Parking,Posted Parking Sign Violation,NYPD,BROOKLYN,The Police Department responded to the complaint and took action to fix the condition.,Closed,3.4
64516877,2025-04-01T00:33:36.000,2025-04-01T01:27:58.000,Noise - Residential,Banging/Pounding,NYPD,MANHATTAN,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,Closed,0.9
64517845,2025-04-01T00:33:48.000,2025-04-01T06:21:10.000,Illegal Parking,Posted Parking Sign Violation,NYPD,BROOKLYN,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,5.8
64514703,2025-04-01T00:34:16.000,2025-04-01T00:55:42.000,Noise - Residential,Banging/Pounding,NYPD,BROOKLYN,This complaint does not fall under the Police Department's jurisdiction.,Closed,0.4
64513072,2025-04-01T00:35:56.000,2025-04-01T03:02:47.000,Noise - Residential,Loud Television,NYPD,BROOKLYN,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,2.4
64519276,2025-04-01T00:36:35.000,2025-04-01T01:29:20.000,Noise - Residential,Loud Music/Party,NYPD,MANHATTAN,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,0.9
64519996,2025-04-01T00:37:09.000,2025-04-01T10:28:42.000,Illegal Parking,Commercial Overnight Parking,NYPD,BROOKLYN,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,9.9
64513023,2025-04-01T00:38:59.000,2025-04-01T03:42:26.000,Illegal Parking,Blocked Hydrant,NYPD,QUEENS,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,3.1
64512829,2025-04-01T00:39:15.000,2025-04-01T02:13:42.000,Illegal Parking,Blocked Crosswalk,NYPD,QUEENS,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,1.6
64515324,2025-04-01T00:39:16.000,2025-04-01T02:23:25.000,Illegal Parking,Blocked Hydrant,NYPD,QUEENS,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,1.7
64521324,2025-04-01T00:39:18.000,2025-04-01T02:29:09.000,Illegal Parking,Blocked Hydrant,NYPD,QUEENS,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,1.8
64514294,2025-04-01T00:39:20.000,2025-04-01T02:29:26.000,Illegal Parking,Blocked Hydrant,NYPD,QUEENS,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,1.8
64518814,2025-04-01T00:39:23.000,2025-04-01T07:13:23.000,Noise - Residential,Loud Talking,NYPD,BROOKLYN,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,6.6
64514354,2025-04-01T00:39:33.000,2025-04-01T02:29:44.000,Illegal Parking,Blocked Hydrant,NYPD,QUEENS,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,1.8
64515524,2025-04-01T00:39:44.000,2025-04-01T02:53:52.000,Illegal Parking,Posted Parking Sign Violation,NYPD,BROOKLYN,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,2.2
64514317,2025-04-01T00:41:30.000,2025-04-01T02:03:11.000,Noise - Residential,Banging/Pounding,NYPD,BRONX,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,1.4
64518130,2025-04-01T00:41:34.000,2025-04-01T01:27:21.000,Noise - Residential,Loud Music/Party,NYPD,BROOKLYN,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,0.8
64521112,2025-04-01T00:41:39.000,2025-04-01T06:00:55.000,Illegal Parking,Blocked Hydrant,NYPD,QUEENS,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,5.3
64515326,2025-04-01T00:42:03.000,2025-04-01T04:40:30.000,Illegal Parking,Double Parked Blocking Traffic,NYPD,BROOKLYN,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,4.0
64521499,2025-04-01T00:42:13.000,2025-04-01T00:52:47.000,Noise - Residential,Loud Music/Party,NYPD,BROOKLYN,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,0.2
64521323,2025-04-01T00:42:31.000,2025-04-01T02:17:05.000,Illegal Parking,Blocked Hydrant,NYPD,QUEENS,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,1.6
64515323,2025-04-01T00:42:32.000,2025-04-01T02:18:02.000,Illegal Parking,Blocked Hydrant,NYPD,QUEENS,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,1.6
64514397,2025-04-01T00:42:34.000,2025-04-01T02:18:32.000,Illegal Parking,Blocked Hydrant,NYPD,QUEENS,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,1.6
64520178,2025-04-01T00:42:36.000,2025-04-01T02:19:05.000,Illegal Parking,Posted Parking Sign Violation,NYPD,QUEENS,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,1.6
64515523,2025-04-01T00:42:38.000,2025-04-01T02:19:35.000,Illegal Parking,Double Parked Blocking Traffic,NYPD,QUEENS,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,1.6
64517784,2025-04-01T00:42:40.000,2025-04-01T02:15:31.000,Illegal Parking,Posted Parking Sign Violation,NYPD,QUEENS,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,1.5
64518879,2025-04-01T00:43:05.000,2025-04-01T02:02:57.000,Noise - Residential,Loud Television,NYPD,BRONX,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,1.3
64528260,2025-04-01T00:45:03.000,2025-04-11T00:00:00.000,Elevator,Elevator - Single Device On Property/No Alternate Service,DOB,MANHATTAN,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,239.2
64529962,2025-04-01T00:50:03.000,2025-04-16T20:01:45.000,PLUMBING,BASIN/SINK,HPD,BRONX,HPD conducted an inspection of this complaint. The conditions observed by the inspector did not violate the housing laws enforced by HPD. The complaint has been closed.,Closed,379.2
64528809,2025-04-01T00:50:03.000,2025-04-16T20:01:45.000,PLUMBING,BASIN/SINK,HPD,BRONX,HPD conducted an inspection of this complaint. The conditions observed by the inspector did not violate the housing laws enforced by HPD. The complaint has been closed.,Closed,379.2
64513047,2025-04-01T00:51:00.000,2025-04-01T01:08:20.000,Blocked Driveway,No Access,NYPD,BROOKLYN,The Police Department issued a summons in response to the complaint.,Closed,0.3
64526501,2025-04-01T00:53:21.000,2025-08-25T20:17:37.000,PLUMBING,WATER SUPPLY,HPD,MANHATTAN,HPD conducted an inspection of this complaint. The conditions observed by the inspector did not violate the housing laws enforced by HPD. The complaint has been closed.,Closed,3523.4
64528824,2025-04-01T00:55:45.000,2025-04-04T21:17:24.000,PAINT/PLASTER,WALL,HPD,BRONX,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,Closed,92.4
64530803,2025-04-01T00:55:47.000,2025-04-01T16:25:20.000,PLUMBING,WATER SUPPLY,HPD,BRONX,HPD conducted an inspection of this complaint. The conditions observed by the inspector did not violate the housing laws enforced by HPD. The complaint has been closed.,Closed,15.5
64519874,2025-04-01T00:59:30.000,2025-04-01T03:18:55.000,Blocked Driveway,No Access,NYPD,QUEENS,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,2.3
64522880,2025-04-01T01:02:18.000,2025-08-07T11:39:10.000,PLUMBING,WATER SUPPLY,HPD,MANHATTAN,HPD called the telephone number on file for this complaint.  Someone at that number indicated that the condition was corrected. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.,Closed,3082.6
64526500,2025-04-01T01:02:18.000,2025-08-07T11:37:01.000,PLUMBING,WATER SUPPLY,HPD,MANHATTAN,HPD called the telephone number on file for this complaint.  Someone at that number indicated that the condition was corrected. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.,Closed,3082.6
64513110,2025-04-01T01:03:04.000,2025-04-01T01:31:43.000,Blocked Driveway,No Access,NYPD,QUEENS,The Police Department issued a summons in response to the complaint.,Closed,0.5
64528865,2025-04-01T01:04:54.000,2025-04-04T12:03:24.000,PLUMBING,WATER SUPPLY,HPD,MANHATTAN,"HPD attempted to conduct an inspection in response to this complaint, but was unable to complete the inspection. Please submit a new service request with 311 if the condition still exists. For more information on the reason why HPD was unable to inspect, contact HPD at the Tenant Information Messaging Service at 212-863-4951.",Closed,83.0
64527715,2025-04-01T01:04:54.000,2025-04-04T12:03:24.000,PLUMBING,WATER SUPPLY,HPD,MANHATTAN,"HPD attempted to conduct an inspection in response to this complaint, but was unable to complete the inspection. Please submit a new service request with 311 if the condition still exists. For more information on the reason why HPD was unable to inspect, contact HPD at the Tenant Information Messaging Service at 212-863-4951.",Closed,83.0
64515408,2025-04-01T01:07:32.000,2025-04-01T04:51:46.000,Blocked Driveway,Partial Access,NYPD,QUEENS,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,3.7
64524015,2025-04-01T01:08:18.000,2025-04-03T18:30:00.000,HEAT/HOT WATER,ENTIRE BUILDING,HPD,QUEENS,HPD responded to a complaint of no heat or hot water in the building. An occupant of the building confirmed heat and hot water had been restored when the Inspector attempted to conduct the inspection or contacted you at the phone number associated with the complaint. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.,Closed,65.4
64513097,2025-04-01T01:11:33.000,2025-04-01T01:23:16.000,Blocked Driveway,Partial Access,NYPD,BROOKLYN,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,0.2
64523997,2025-04-01T01:11:41.000,2025-04-03T18:30:00.000,HEAT/HOT WATER,ENTIRE BUILDING,HPD,QUEENS,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a",Closed,65.3
64528821,2025-04-01T01:17:52.000,2025-08-07T10:47:26.000,PLUMBING,BATHTUB/SHOWER,HPD,MANHATTAN,HPD called the telephone number on file for this complaint.  Someone at that number indicated that the condition was corrected. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.,Closed,3081.5
64524068,2025-04-01T01:17:52.000,2025-08-07T10:50:47.000,PLUMBING,WATER SUPPLY,HPD,MANHATTAN,HPD called the telephone number on file for this complaint.  Someone at that number indicated that the condition was corrected. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.,Closed,3081.5
64526452,2025-04-01T01:17:52.000,2025-08-07T10:49:19.000,PLUMBING,WATER SUPPLY,HPD,MANHATTAN,HPD called the telephone number on file for this complaint.  Someone at that number indicated that the condition was corrected. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.,Closed,3081.5
64527766,2025-04-01T01:17:52.000,2025-08-07T10:45:20.000,PLUMBING,TOILET,HPD,MANHATTAN,HPD called the telephone number on file for this complaint.  Someone at that number indicated that the condition was corrected. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.,Closed,3081.5
64514986,2025-04-01T01:24:08.000,2025-04-02T09:26:00.000,Street Condition,Pothole,DOT,QUEENS,The Department of Transportation inspected this complaint and repaired the problem.,Closed,32.0
64521063,2025-04-01T01:25:00.000,2025-04-01T04:00:10.000,Blocked Driveway,No Access,NYPD,BROOKLYN,The Police Department issued a summons in response to the complaint.,Closed,2.6
64515419,2025-04-01T01:26:35.000,2025-04-01T02:44:23.000,Blocked Driveway,Partial Access,NYPD,QUEENS,The Police Department issued a summons in response to the complaint.,Closed,1.3
64531006,2025-04-01T01:27:15.000,2025-04-02T21:04:44.000,HEAT/HOT WATER,ENTIRE BUILDING,HPD,BRONX,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a",Closed,43.6
64514014,2025-04-01T01:37:02.000,2025-04-01T13:53:40.000,Blocked Driveway,No Access,NYPD,BRONX,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,12.3
64515373,2025-04-01T01:38:44.000,2025-04-01T02:11:24.000,Blocked Driveway,No Access,NYPD,BROOKLYN,The Police Department issued a summons in response to the complaint.,Closed,0.5
64518767,2025-04-01T01:41:07.000,2025-04-01T04:21:46.000,Blocked Driveway,No Access,NYPD,BROOKLYN,The Police Department issued a summons in response to the complaint.,Closed,2.7
64521238,2025-04-01T01:44:09.000,2025-04-01T03:04:56.000,Blocked Driveway,Partial Access,NYPD,BROOKLYN,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,1.3
64521062,2025-04-01T01:46:02.000,2025-04-01T04:42:46.000,Blocked Driveway,No Access,NYPD,BROOKLYN,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,2.9
64518919,2025-04-01T01:48:12.000,2025-04-01T07:02:27.000,Blocked Driveway,No Access,NYPD,BROOKLYN,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,5.2
64524043,2025-04-01T01:56:40.000,2025-04-04T16:50:42.000,PAINT/PLASTER,CEILING,HPD,BRONX,The Department of Housing Preservation and Development was unable to access the rooms where the following  conditions were reported. No violations were issued. The complaint has been closed.,Closed,86.9
64528793,2025-04-01T01:56:40.000,2025-04-04T16:50:42.000,PAINT/PLASTER,CEILING,HPD,BRONX,The Department of Housing Preservation and Development was unable to access the rooms where the following  conditions were reported. No violations were issued. The complaint has been closed.,Closed,86.9
64531035,2025-04-01T01:56:47.000,2025-04-03T18:48:02.000,HEAT/HOT WATER,ENTIRE BUILDING,HPD,BROOKLYN,HPD responded to a complaint of no heat or hot water in the building. An occupant of the building confirmed heat and hot water had been restored when the Inspector attempted to conduct the inspection or contacted you at the phone number associated with the complaint. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.,Closed,64.9
64522330,2025-04-01T02:05:20.000,2025-04-01T07:55:47.000,Blocked Driveway,No Access,NYPD,QUEENS,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,5.8
64522795,2025-04-01T02:15:23.000,2025-04-03T18:50:00.000,HEAT/HOT WATER,ENTIRE BUILDING,HPD,BROOKLYN,HPD responded to a complaint of no heat or hot water in the building. An occupant of the building confirmed heat and hot water had been restored when the Inspector attempted to conduct the inspection or contacted you at the phone number associated with the complaint. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.,Closed,64.6
64529359,2025-04-01T02:15:48.000,2025-04-01T03:22:54.000,Blocked Driveway,Partial Access,NYPD,QUEENS,The Police Department responded to the complaint and took action to fix the condition.,Closed,1.1
64522786,2025-04-01T02:16:45.000,2025-04-03T14:36:44.000,HEAT/HOT WATER,APARTMENT ONLY,HPD,BRONX,HPD called the telephone number on file for this complaint.  Someone at that number indicated that the condition was corrected. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.,Closed,60.3
64527660,2025-04-01T02:16:45.000,2025-04-06T18:37:56.000,PAINT/PLASTER,CEILING,HPD,BRONX,"HPD inspected this condition so the complaint has been closed. Violations were issued. The law provides the property owner time to correct the condition(s).  Violation descriptions and the dates for the property owner to correct any violations are available at HPDONLINE.  If the owner has not corrected the condition by the date provided, you may wish to bring a case in housing court seeking the correction of these conditions.To find out more about how to start a housing court case, visit HPD's w",Closed,136.4
64528769,2025-04-01T02:19:03.000,2025-04-02T21:04:44.000,HEAT/HOT WATER,ENTIRE BUILDING,HPD,BRONX,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a",Closed,42.8
64530476,2025-04-01T02:20:52.000,2025-04-01T05:57:52.000,Blocked Driveway,No Access,NYPD,QUEENS,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,3.6
64522658,2025-04-01T02:27:55.000,2025-05-14T00:00:00.000,Building/Use,Illegal Conversion Of Residential Building/Space,DOB,QUEENS,"The Department of Buildings attempted to investigate this complaint but could not locate the premises. If the problem still exists, please call 311 and file a new complaint with additional information about how to locate the building. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,1029.5
64522322,2025-04-01T02:28:47.000,2025-04-01T02:57:20.000,Blocked Driveway,Partial Access,NYPD,QUEENS,The Police Department issued a summons in response to the complaint.,Closed,0.5
64529838,2025-04-01T02:39:35.000,2025-04-03T23:22:10.000,HEAT/HOT WATER,APARTMENT ONLY,HPD,MANHATTAN,HPD responded to a complaint of no heat or hot water in the building. An occupant of the building confirmed heat and hot water had been restored when the Inspector attempted to conduct the inspection or contacted you at the phone number associated with the complaint. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.,Closed,68.7
64516128,2025-04-01T02:41:23.000,2025-04-01T09:20:00.000,Street Condition,Pothole,DOT,MANHATTAN,The Department of Transportation inspected this complaint and repaired the problem.,Closed,6.6
64529380,2025-04-01T02:51:51.000,2025-04-01T03:42:49.000,Blocked Driveway,No Access,NYPD,QUEENS,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,0.8
